about,b3_issuer_code,b3_listing_segment,b3_sector,b3_segment,b3_subsector,cnpj,controlling_interest,cvm_code,founding_date,is_b3_listed,is_foreign,is_state_owned,main_activity,name,trade_name,website
,TMPE,,Utilidade Pública,Energia Elétrica,Energia Elétrica,03.795.050/0001-09,private,19852,2000-04-20,True,False,False,,TERMOPERNAMBUCO SA,TERMOPE,http://www.termope.com.br
"A Light S/A é uma empresa privada que atua na geração, distribuição, comercialização e soluções de energia elétrica em 31 municípios do Estado do Rio de Janeiro, abrangendo uma região com mais de 10 milhões de pessoas. Com sede na cidade do Rio de Janeiro, o Grupo Light é constituído por diversas empresas, como a Light Serviços de Eletricidade S.A., Light Energia S.A., Lightger S.A., Itaocara Energia Ltda., Amazônia Energia Participações S.A., Light Esco Prestação de Serviços S.A., Lightcom Comercializadora de Energia S.A., Light Soluções em Eletricidade Ltda., Energia Olimpica S.A., Axxiom Soluções Tecnológicas S.A. e Instituto Light. A história da Light começa em 1899, em Toronto, no Canadá, e sua atuação no Brasil começou em São Paulo, através da construção da Usina Hidrelétrica Parnaíba. No Rio de Janeiro, a empresa adquiriu o controle acionário da concessionária de iluminação a gás e construiu diversas usinas hidrelétricas nas décadas seguintes. Além disso, a Light também controlou o serviço de bondes e carris urbanos na cidade até 1963.",LIGT,NM,Utilidade Pública,Energia Elétrica,Energia Elétrica,03.378.521/0001-75,private,19879,1999-07-27,True,False,False,Participação em Sociedades P/ Exploração Serviços de Energia Elétrica,Light S.A.,Light,https://ri.light.com.br
"A BRMalls é uma das maiores empresas de administração de shopping centers do Brasil, com participação em 31 empreendimentos em todas as regiões do país. Fundada em 2006, a empresa é registrada no Novo Mercado da BOVESPA e também está listada na bolsa de valores de Nova Iorque. A BRMalls é conhecida por sua expertise em gestão de shopping centers e por oferecer uma ampla variedade de serviços e soluções para seus clientes e lojistas. A empresa é uma referência no setor e está em constante expansão, buscando sempre oferecer a melhor experiência de compra para seus clientes.",BRML,NM,Financeiro,Exploração de Imóveis,Exploração de Imóveis,06.977.745/0001-91,private_holding,19909,2004-05-26,True,False,False,Holding,BRMalls Participações S.A.,BRMalls,http://www.brmalls.com.br
,BRPR,NM,Financeiro,Exploração de Imóveis,Exploração de Imóveis,06.977.751/0001-49,private_holding,19925,2004-05-26,True,False,False,Compra. Venda E Incorp. de Imóveis Comerciais Prontos Ou A Construir; Admin de Imóveis Próprios Ou de Terceiros; Arrendamento. Exploração Com. Locação Sub-locação de Imóveis Comerciais Própr. E Outros,BR Properties S.A.,BR Properties,http://www.brpr.com.br
,WTVR,,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,,19984,,True,False,,,BRPR 56 SECURITIZADORA CRED IMOB S.A.,BRPR 56 SEC,http://www.brpr.com.br
"A Totvs é uma empresa brasileira líder em tecnologia para empresas, oferecendo uma ampla gama de sistemas e aplicativos, além de serviços financeiros para empresas de todos os tamanhos e em diversos setores da economia brasileira. Com mais de 70 mil clientes em mais de 40 países, a Totvs é uma provedora de tecnologia que vai além do ERP, investindo em pesquisa e desenvolvimento para atender às necessidades de seus clientes. Com mais de 10 mil colaboradores em todo o mundo, a Totvs é uma empresa que acredita no ""Brasil que Faz"" e apoia o crescimento e a sustentabilidade de milhares de negócios e empreendedores em todo o país.",TOTS,NM,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,53.113.791/0001-22,private,19992,1983-01-01,True,False,False,Prestação de Serviços de Consultoria. Assessoria E Desenvolvimento de Sistemas Informatizados (software). Atividades de Pesquisa E Inovação Tecnológica. Prestação de Serviços Relacionados à Gestão.,Totvs S.A.,Totvs,https://ri.totvs.com
,,,,,,03.538.833/0001-07,private,20001,1999-11-23,False,,False,,XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A,XX DE NOVEMBRO SEC DE CREDITOS IMOB S.A,
"A Equatorial Energia é uma empresa de capital aberto que atua no setor de eletricidade no Brasil, controlando diversas distribuidoras de energia elétrica em diferentes estados, como Alagoas, Amapá, Maranhão, Pará, Piauí e Rio Grande do Sul, além de ter participação na área de transmissão com a Equatorial Transmissão. Fundada em 1999 pela PPL Global como Brisk Participações, a empresa teve sua origem a partir da participação no leilão de privatização da Companhia Energética do Maranhão-CEMAR em 2000. Mais recentemente, a Equatorial Energia adquiriu a CEEE-D do Rio Grande do Sul e a CEA do Amapá através de processo de desestatização.",EQTL,NM,Utilidade Pública,Energia Elétrica,Energia Elétrica,03.220.438/0001-73,private,20010,1999-06-16,True,False,False,Empresa Holding Com Atuação No Setor Elétrico,Equatorial Energia S.A.,Equatorial Energia,https://ri.equatorialenergia.com.br
,VLID,NM,Bens Industriais,Serviços Diversos,Serviços,33.113.309/0001-47,foreign,20028,1957-01-01,True,False,False,Impressão de Documentos de Segurança.,Valid Soluções S.A.,Valid,http://www.valid.com.br
"A BrasilAgro é uma empresa fundada em 2006 e se destaca pela aquisição, desenvolvimento e exploração de propriedades rurais com aptidão agropecuária. Com o objetivo de gerar valor por meio da manutenção e desenvolvimento de atividades agropecuárias rentáveis, a empresa busca implementar culturas de maior valor agregado e investir em infraestrutura e tecnologia para maximizar o retorno sobre seus investimentos. Com um plano de negócios que contempla a valorização das propriedades rurais como principal vetor de retorno financeiro, a empresa busca maximizar o rendimento e a produtividade por meio da implementação de tecnologia e técnicas agrícolas de excelência.",AGRO,NM,Consumo não Cíclico,Agricultura,Agropecuária,07.628.528/0001-59,foreign,20036,2005-09-23,True,False,False,Empresa de Desenvolvimento Agropecuario,BrasilAgro Companhia Brasileira de Propriedades Agrícolas,BrasilAgro,https://ri.brasil-agro.com
,CSUD,NM,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,01.896.779/0001-38,private,20044,1996-08-01,True,False,False,Terceirização em Administração E Processamento de Meios Eletrónicos de Pagamento. Infraestrutura E Gestão em Terceirização de Contact Center. Desenvolvimento E Gestão Operacional de Programas Market,CSU Cardsystem S.A.,CSU Cardsystem,http://www.csu.com.br
,,,,,,07.659.538/0001-51,private,20052,2005-09-30,False,,False,,DINAMICA ENERGIA S/A,DINAMICA ENERGIA S/A,
"A Lupatech S.A. é uma empresa especializada em fornecer equipamentos e serviços para a indústria de petróleo e gás, além de atuar na produção e comercialização de válvulas industriais para diversos setores, como petroquímico, químico, papel e celulose, alimentício, farmacêutico e siderúrgico. Fundada em 1980, a Lupatech possui uma forte presença na região do Mercosul e é reconhecida por suas soluções de alto valor agregado, como cabos de poliéster para ancoragem de plataformas em águas profundas, ferramentas para conclusão de poços, sistemas de monitoramento por fibra ótica, compressores de gás, entre outros.",LUPA,NM,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,"Petróleo, Gás e Biocombustíveis",89.463.822/0001-12,private,20060,1980-08-01,True,False,False,Fabricante de Equipamentos E Provedor de Serviços Para O Setor de Petróleo E Gás.,Lupatech S.A.,Lupatech,https://ri.lupatech.com.br/
"A Embraer é uma empresa brasileira líder na fabricação de aviões comerciais, executivos, agrícolas e militares, além de peças aeroespaciais e serviços de suporte na área. Com sede em São José dos Campos, a empresa possui unidades em diversos países e é a terceira maior fabricante de jatos comerciais do mundo. Com uma receita líquida de 21,4 bilhões de reais em 2016, a Embraer é uma das maiores exportadoras brasileiras e é reconhecida por sua inovação e qualidade em seus produtos e serviços.",EMBR,NM,Bens Industriais,Material Aeronáutico e de Defesa,Material de Transporte,07.689.002/0001-89,private,20087,2005-09-02,True,False,False,Projeto. Desenvolvimento. Fabricação. Comercialização de Aeronaves E Sistemas E Fornecimento de Suporte E Serviços de Pós-venda.,Embraer S.A.,Embraer,https://ri.embraer.com.br
"A Odontoprev é uma empresa líder no setor de planos de saúde odontológicos na América Latina. Fundada em 1987 por profissionais odontológicos, a empresa passou a ser controlada por investidores de private equity em 1998 e adquiriu a Unidont em 1999. Desde 2006, suas operações estão integradas às do Bradesco Dental, do Bradesco, após abrir seu capital na B3. Em 2018, a Odontoprev adquiriu a OdontoSystem, consolidando ainda mais sua posição no mercado. O site oficial da empresa está disponível em português e inglês.",ODPV,NM,Saúde,"Serviços Médicos, Hospitalares, Análises e Diagnósticos","Serviços Médicos, Hospitalares, Análises e Diagnósticos",58.119.199/0001-51,private,20125,1987-01-01,True,False,False,Operadora de Planos Odontológicos,Odontoprev S.A.,Odontoprev,https://ri.odontoprev.com.br
,,,,,,07.950.674/0001-04,private_holding,20184,2006-04-10,False,,False,,CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO,CENTENNIAL ASSET PART. AMAPA S/A,
,ANHB,,Bens Industriais,Exploração de Rodovias,Transporte,02.451.848/0001-62,private,20192,1998-05-01,True,False,False,Concessão Rodoviária,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.,AUTOBAN,http://www.autoban.com.br
,,MB,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,07.587.384/0001-30,private,20222,2005-07-11,True,False,False,Aquisição. Securitização. Emissão. Negociação E Prestação de Serviços Relacionados à Créditos Imobiliários E Direitos Creditórios Do Agronegócio Passíveis de Securitização.,PLANETA SECURITIZADORA S.A.,GAIA SECURIT,http://www.gaiasec.com.br
"A Taesa S.A. é uma empresa brasileira que atua no setor de transmissão de energia elétrica. Com mais de 13 mil km de linhas em operação e em construção, a empresa é uma das maiores do país em termos de Receita Anual Permitida (RAP). Além disso, a Taesa possui ativos em todas as regiões do Brasil e um Centro de Operação e Controle em Brasília. A empresa detém 39 concessões de transmissão e suas ações são negociadas na Bolsa de Valores de São Paulo. O controle acionário da Taesa é exercido pela Companhia Energética de Minas Gerais e pela ISA Investimentos e Participações do Brasil S.A.",TAEE,N2,Utilidade Pública,Energia Elétrica,Energia Elétrica,07.859.971/0001-30,private,20257,2006-01-23,True,False,False,Transmissão de Energia Elétrica.,Transmissora Aliança de Energia Elétrica S.A.,Taesa,https://ri.taesa.com.br
,CMGD,,Utilidade Pública,Energia Elétrica,Energia Elétrica,06.981.180/0001-16,state_owned,20303,2004-09-08,True,False,True,O Objetivo Da Companhia É Estudar. Planejar. Projetar. Construir. Operar E Explorar Sistemas de Distribuição E Comercialização de Energia Elétrica E Serviços Correlatos.,CEMIG DISTRIBUIÇÃO S/A,CEMIG DIST,http://www.cemig.infoinvest.com.br
,CMGT,,Utilidade Pública,Energia Elétrica,Energia Elétrica,06.981.176/0001-58,state_owned,20320,2004-09-08,True,False,True,Realiza Atividades de Geração. Transmissão E Comercialização de Energia Elétrica E Serviços Correlatos Que Lhe Tenham Sido Ou Venham A Ser Concedidos.,CEMIG GERAÇÃO E TRANSMISSÃO S/A,CEMIG GT,http://ri.cemig.com.br
,MDIA,NM,Consumo não Cíclico,Alimentos Diversos,Alimentos Processados,07.206.816/0001-15,private,20338,1961-01-01,True,False,False,Produção E Comercialização de Biscoitos. Massas. Farinha de Trigo E Farelo. Margarinas E Gorduras. Bolos. Snacks. Mistura Para Bolos E Torradas.,M. Dias Branco S.A. Indústria e Comércio de Alimentos,M. Dias Branco,http://www.mdiasbranco.com.br
,PFRM,NM,Saúde,Medicamentos e Outros Produtos,Comércio e Distribuição,45.453.214/0001-51,private,20346,1961-01-01,True,False,False,Profarma Atua Na Distribuição de Produtos Farmacêuticos. Higiene Pessoal E Cosméticos. Nos Mais Populosos Estados Brasileiros.,Profarma Distribuidora de Produtos Farmacêuticos S.A.,Profarma,http://www.profarma.com.br
,TESA,,Consumo não Cíclico,Agricultura,Agropecuária,,,20354,,True,False,,- Produção E Comércio de Produtos Vegetais (soja. Milho E Algodão) - Industrialização E Comércio de Biocombustíveis. óleo Vegetal E Subprodutos,Terra Santa Agro S.A.,Terra Santa,http://www.terrasantaagro.com
,POSI,NM,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,81.243.735/0001-48,private,20362,1972-01-01,True,False,False,Fabricação de Hardware.,Positivo Tecnologia S.A.,Positivo,http://www.positivoinformatica.com.br/ri
"A Lopes é uma empresa brasileira com mais de 85 anos de experiência no mercado imobiliário. Com uma ampla gama de serviços, a Lopes atua na corretagem e consultoria de projetos e financeira, oferecendo intermediação de empreendimentos residenciais, comerciais, hotéis, flats, loteamentos, entre outros. Além disso, a empresa presta consultoria no processo de concepção e desenvolvimento dos lançamentos imobiliários. Com uma presença em 10 estados e no DF, a Lopes é uma das principais referências do setor imobiliário no Brasil.",LPSB,NM,Financeiro,Intermediação Imobiliária,Exploração de Imóveis,08.078.847/0001-09,foreign,20370,2006-05-22,True,False,False,Intermediação Na Compra. Venda. Permuta E Locação de Imóveis Ou de Direitos E Obrigações A Eles Relativos.,LPS Brasil Consultoria de Imóveis S.A.,Lopes,https://ri.lopes.com.br
,ECOV,,Bens Industriais,Exploração de Rodovias,Transporte,02.509.491/0001-26,private,20397,1998-05-01,True,False,False,Concessão E Exploração de Rodovias,CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA,ECOVIAS,http://www.ecovias.com.br
"A Tecnisa é uma empresa brasileira do mercado imobiliário que atua de forma integrada, desde a incorporação até a venda de imóveis. Fundada em São Paulo em 1977, a empresa já lançou mais de 8 milhões de metros quadrados em 27 cidades do país. Embora tenha enfrentado problemas na entrega de unidades vendidas na planta e registrado prejuízo em 2012, a Tecnisa coleciona homenagens e prêmios por suas boas práticas de gestão e excelência em serviços ao cliente. Em 2020, a empresa encerrou o primeiro trimestre com uma disponibilidade de caixa e aplicações financeiras de R$ 261 milhões, o que a coloca em uma posição privilegiada para enfrentar as incertezas e capturar as eventuais oportunidades.",TCSA,NM,Consumo Cíclico,Incorporações,Construção Civil,08.065.557/0001-12,private,20435,2006-05-22,True,False,False,Incorporação. Compra E Venda de Imóveis Prontos E A Construir A Locação E Administração de Bens Imóveis. Construção de Imóveis E A Prestação de Serviço de Consultoria Imobiliaria.,Tecnisa S.A.,Tecnisa,http://www.tecnisa.com.br/ri
,,,,,,02.281.836/0001-37,private,20443,1998-01-01,False,,False,,TRANSNORDESTINA LOGISTICA SA,TRANSNORDESTINA LOGISTICA SA,
,RDNI,NM,Consumo Cíclico,Incorporações,Construção Civil,67.010.660/0001-24,private,20451,1949-01-01,True,False,False,(i) A Compra E Venda de Imóveis; (ii) O Desmembramento Ou Loteamento de Terrenos; (iii) A Incorporação Imobiliária Ou Construção de Imóveis Destinados à Venda; (iv) A Prestação de Serviços A Terceiros,RNI Negócios Imobiliários S.A.,RNI,http://rni.com.br/
"A PDG é uma empresa do setor imobiliário sediada no Rio de Janeiro e focada no segmento popular. Ela é a segunda maior empresa do setor no Brasil, atrás apenas da Cyrela Brazil Realty. A PDG tem o controle da maior parte de seu grupo consolidado de capital, incluindo empresas como Goldfarb e CHL. A empresa está presente em mais de 50 cidades e 10 estados no Brasil, além de ter projetos na Argentina. Seus projetos imobiliários incluem empreendimentos residenciais de várias classes, condomínios de luxo, investimentos em empreendimentos com foco em geração de renda através de locação, desenvolvimento de lotes residenciais, investimento em empreendimentos imobiliários comerciais e comercialização de imóveis residenciais e comerciais. A PDG também se envolve em corretagem imobiliária e consultoria de negócios.",PDGR,NM,Consumo Cíclico,Incorporações,Construção Civil,02.950.811/0001-89,private,20478,2003-01-01,True,False,False,Construção E Incorporação,PDG Realty S.A. Empreendimentos e Participações,PDG Realty,https://ri.pdg.com.br
,IGTI,,Financeiro,Exploração de Imóveis,Exploração de Imóveis,51.218.147/0001-93,private,20494,1979-05-23,True,False,False,Empresa Full Service No Setor de Shopping Centers. Suas Atividades Englobam A Concepção. O planejamento. O Desenvolvimento E A Administração de Shopping Centers Regionais E Complexos imobiliários.,Iguatemi Empresa de Shopping Centers S.A.,Iguatemi,http://www.iguatemi.com.br
"O Grupo São Martinho é uma empresa de capital aberto fundada em 1914 e sediada em São Paulo. É um dos maiores grupos sucroenergéticos do país, com quatro usinas em operação e capacidade de moagem de 24 milhões de toneladas de cana. Além da produção de açúcar e etanol, a companhia também atua no setor de energia elétrica e negócios imobiliários. A Usina São Martinho, localizada em Pradópolis, é considerada a maior usina sucroalcooleira em operação no mundo. A empresa passou por uma parceria estratégica com a Petrobras Biocombustível para a produção de etanol em Goiás, e adquiriu participações em outras usinas e empresas do setor. Em 2018, a Petrobras vendeu todas as suas ações na São Martinho S.A.",SMTO,NM,Consumo não Cíclico,Açucar e Álcool,Alimentos Processados,51.466.860/0001-56,private,20516,1937-07-14,True,False,False,Fabricação E Comércio de Açúcar. álcool E Derivados.,São Martinho S.A.,São Martinho,https://ri.saomartinho.com.br
"A Even foi fundada em 2002, após a fusão da ABC Investimentos e da Terepins&Kalili, ambas com décadas de experiência no setor imobiliário. Com sede em São Paulo, a empresa atua em todas as etapas do desenvolvimento de empreendimentos, desde a prospecção do terreno até a venda e pós-venda dos imóveis. A empresa também está presente em outras regiões do país, como Rio de Janeiro e Porto Alegre, e possui duas empresas de vendas especializadas em prestar serviços exclusivamente para a Even. A empresa possui duas marcas comerciais, a Open e a Even, voltadas para segmentos distintos do mercado imobiliário.",EVEN,NM,Consumo Cíclico,Incorporações,Construção Civil,43.470.988/0001-65,private,20524,2002-01-01,True,False,False,Construção. Incorporação E Loteamento.,Even Construtora e Incorporadora S.A.,Even,https://ri.even.com.br
"O Santander Brasil é a subsidiária do banco espanhol Santander no Brasil, sendo o terceiro maior banco privado do sistema financeiro do país. Com mais de 52 mil colaboradores e 60 milhões de clientes, o banco está presente em todas as regiões do Brasil, possuindo cerca de 3 mil agências e 36 mil caixas eletrônicos. Em 2022, foi considerado o terceiro banco mais rentável do mundo em retorno sobre o patrimônio.",SANB,,Financeiro,Bancos,Intermediários Financeiros,90.400.888/0001-42,foreign_holding,20532,1985-08-09,True,False,False,Banco Múltiplo Com Carteira Comercial,Banco Santander (Brasil) S.A.,Banco Santander,https://www.santander.com.br/ri
,CPRE,,Utilidade Pública,Energia Elétrica,Energia Elétrica,08.439.659/0001-50,private,20540,2006-10-02,True,False,False,Geração de Energias Renováveis.,CPFL ENERGIAS RENOVÁVEIS S.A.,CPFL RENOVAV,http://www.cpflrenovaveis.com.br
,PINE,N2,Financeiro,Bancos,Intermediários Financeiros,62.144.175/0001-20,private,20567,1997-05-01,True,False,False,Banco Regional Brasileiro. de Capital Aberto. Que Há Mais de Vinte Anos Destaca-se em Financiar E Assessorar Grandes E Médias Empresas.,BANCO PINE S/A,PINE,http://www.pine.com
"A JBS é uma empresa brasileira do setor de alimentos que foi fundada em 1953 em Goiás pelos irmãos Juvensor, Olinto e José Batista Sobrinho. A companhia é uma das maiores indústrias de alimentos do mundo e opera no processamento de carnes bovina, suína, ovina, de frango, de peixe e plant-based, além de atuar no processamento de couros. Além disso, comercializa produtos de higiene e limpeza, colágeno, embalagens metálicas, biodiesel, entre outros. Suas principais operações incluem as marcas Seara, Swift e Friboi.",JBSS,NM,Consumo não Cíclico,Carnes e Derivados,Alimentos Processados,02.916.265/0001-60,private,20575,1953-01-01,True,False,False,,JBS S.A.,JBS,https://ri.jbs.com.br
"A JHSF é uma empresa brasileira que atua nos setores de shopping centers, incorporação imobiliária, hotelaria e gastronomia, com foco no mercado de alta renda e ativos de renda recorrente. Fundada em 1972, a empresa é reconhecida por empreendimentos de luxo, como o Shopping Cidade Jardim e o Fazenda Boa Vista, e por ser a primeira do ramo imobiliário a priorizar ativos de renda recorrente. Com atuação no mercado brasileiro e em outros países, a JHSF é uma empresa de destaque no setor imobiliário e de shopping centers.",JHSF,NM,Consumo Cíclico,Incorporações,Construção Civil,08.294.224/0001-65,private,20605,2006-06-29,True,False,False,Empresa Que Investe No Brasil em Negócios Voltados A Atender O Público de Alta Renda. Focada No Desenvolvimento E Administração de Projetos de Shopping Centers. Hotéis E E Restaurantes E Incorporação.,JHSF Participações S.A.,JHSF,https://ri.jhsf.com.br
,FRIO,NM,Bens Industriais,Máquinas e Equipamentos Industriais,Máquinas e Equipamentos,04.821.041/0001-08,private_holding,20613,1960-01-01,True,False,False,Fabricação E Comercialiazação de Geladeiras E Similares. de Máquinas de Vendas Automáticas. Componentes E Peças,Metalfrio Solutions S.A.,Metalfrio,http://www.metalfrio.com.br
"A Fertilizantes Heringer foi fundada em 1968 pelo engenheiro agrônomo Dalton Dias Heringer como uma empresa individual em Manhuaçu, MG, com o objetivo de fornecer fertilizantes para produtores de café. A empresa foi transformada em uma sociedade limitada em 1973 e posteriormente expandiu sua área de atuação, instalando-se no Espírito Santo e inaugurando unidades de produção própria em diversas regiões do país. Ao longo dos anos, a empresa investiu em centros de pesquisa e desenvolvimento, novas unidades de produção e tecnologia para atender às necessidades dos produtores agrícolas brasileiros. Atualmente, a companhia é controlada pela família Heringer, que tem um longo histórico de investimento e participação no setor agrícola brasileiro.",FHER,NM,Materiais Básicos,Fertilizantes e Defensivos,Químicos,22.266.175/0001-88,private,20621,1968-09-15,True,False,False,Produção. Comercialização E Distribuição de Fertilizantes. Com Atuação Nacional.,Fertilizantes Heringer S.A.,Fertilizantes Heringer,https://ri.heringer.com.br
,CRDE,,Consumo Cíclico,Incorporações,Construção Civil,07.820.907/0001-46,private,20630,2006-01-10,True,False,False,Incorporação Imobiliária,CR2 Empreendimentos Imobiliários S.A.,CR2,http://www.cr2.com.br
,CEED,,Utilidade Pública,Energia Elétrica,Energia Elétrica,08.467.115/0001-00,state_owned,20648,2006-12-01,True,False,True,Prestação de Serviços de Natureza Pública Ou Privada. No Setor de Distribuição de Energia elétrica.,Companhia Estadual de Distribuição de Energia Elétrica,CEEE D,http://www.ceee.com.br
"A Viver foi fundada em 1992 com o nome de Inpar e é uma empresa com atuação em todas as etapas da incorporação imobiliária. Seus empreendimentos são voltados para os segmentos residencial, comercial, turismo e loteamentos. A empresa passou por uma abertura de capital em 2007, captando R$ 756 milhões e fortalecendo o banco de terrenos, o desenvolvimento das atividades de incorporação e a expansão de suas atividades em outras regiões do Brasil. Em 2016, teve início a recuperação judicial da empresa, com fim em agosto de 2021.",VIVR,NM,Consumo Cíclico,Incorporações,Construção Civil,67.571.414/0001-41,foreign_holding,20702,1992-02-06,True,False,False,Construção. Incorporação. Aquisição de Créditos Com Lastro em Ativos Imobiliários. Obras Paradas. Vendas. Repasse. Cobrança. Assistência Técnica. Negociação de Dívidas E Processos Judiciais.,Viver Incorporadora e Construtora S.A.,Viver,https://ri.viver.com.br
,LOGN,NM,Bens Industriais,Transporte Hidroviário,Transporte,42.278.291/0001-24,private,20710,1988-07-31,True,False,False,A Log-in Oferece Soluções Logísticas Integradas Através Do Transporte Marítimo em Navios Porta-contêineres. Terminal Portuário. Terminais Intermodais E Transporte Rodoviário de Curta Distância.,Log-In Logística Intermodal S.A.,Log-In,http://www.loginlogistica.com.br
,PRBC,,Financeiro,Bancos,Intermediários Financeiros,14.388.334/0001-99,private,20729,1979-01-01,True,False,False,Banco Múltiplo Com Carteira de Crédito. Financiamento E Investimentos.,PARANA BANCO S.A.,PARANA,http://www.paranabanco.com.br
"A SLC Agrícola é uma empresa brasileira de capital aberto, com mais de 40 anos de história no agronegócio. Seu foco principal é a produção de commodities agrícolas, como soja, algodão e milho, além de trabalhar com criação de gado. A empresa também é responsável pela marca SLC Sementes, que produz e comercializa sementes de soja e algodão. Com matriz em Porto Alegre e 23 unidades de produção estrategicamente localizadas em sete estados brasileiros, a SLC Agrícola é referência em eficiência operacional e alta escala de produção, tendo sido uma das primeiras empresas do setor a ter ações negociadas em bolsa de valores.",SLCE,NM,Consumo não Cíclico,Agricultura,Agropecuária,89.096.457/0001-55,private,20745,1977-07-21,True,False,False,Produção E Comercialização de Algodão. Soja. Milho. Entre Outros.,SLC Agrícola S.A.,SLC Agrícola,https://ri.slcagricola.com.br/
"A EZTEC é uma empresa de construção brasileira que se dedica a construir, incorporar e vender empreendimentos imobiliários de médio e alto padrão, residenciais e comerciais. Fundada em 1979, a empresa é sediada em São Paulo e suas ações são negociadas na Bolsa de Valores de São Paulo desde 2006. A EZTEC tem um Sistema de Gestão de Qualidade certificado pela ISO 9001 e PBQP-H nível A, garantindo a padronização e melhoria contínua dos seus processos e produtos, além de exigir que a construtora atenda a um conjunto de requisitos baseados em normas internacionais.",EZTC,NM,Consumo Cíclico,Incorporações,Construção Civil,08.312.229/0001-73,private,20770,1979-02-15,True,False,False,(a) Incorporação E Comercialização de Empreendimentos Imobiliários de Qualquer Natureza. (b) Administração E Locação de Imóveis Prórpios. (c) Loteamento de Terrenos. (d) Construção de Condomínios ...,EZTEC Empreendimentos e Participações S.A.,EZTEC,https://ri.eztec.com.br
"A Marfrig é uma empresa brasileira de alimentos que se destaca como a segunda maior produtora de carne bovina do mundo e líder na produção de hambúrgueres. Fundada em 2000, a Marfrig tem uma história de crescimento e expansão internacional, com aquisições de empresas de alimentos na Argentina, Uruguai, Irlanda do Norte e Estados Unidos. A empresa é dividida em diversas divisões, sendo a Marfrig Beef uma das maiores produtoras de carne bovina do mundo, com operações no Brasil e internacionalmente. Além disso, a Marfrig é líder no segmento de food service e fomentadora de programas de qualidade, bem-estar animal e sustentabilidade na cadeia de fornecimento de gado bovino e ovino brasileira.",MRFG,NM,Consumo não Cíclico,Carnes e Derivados,Alimentos Processados,03.853.896/0001-40,private,20788,2000-04-06,True,False,False,Produção E Distribuição de Alimentos à Base de Carne Bovina. Suína. Ovina E Avícola. In Natura. Elaborados E Processados. Couros Semi-terminados E Terminados. Além de Outros Produtos Alimentícios.,Marfrig Global Foods S.A.,Marfrig,https://ri.marfrig.com.br
,,,,,,62.232.889/0001-90,private,20796,1968-08-05,False,,False,,BANCO DAYCOVAL S.A.,BANCO DAYCOVAL S.A.,
,TGMA,NM,Bens Industriais,Transporte Rodoviário,Transporte,02.351.144/0001-18,private,20800,1998-01-05,True,False,False,Prestação de Serviços de Logística Para A Indústria Automotiva. Gerenciamento de Estoques E Pátios. Atividades de Armazém Geral. Pdi. Dentre Outras.,Tegma Gestão Logística S.A.,Tegma,http://www.tegma.com.br
,,,,,,08.769.451/0001-08,private,20818,2007-03-05,False,,False,,VIRGO COMPANHIA DE SECURITIZAÇÃO,VIRGO COMPANHIA DE SECURITIZAÇÃO,
,HBOR,NM,Consumo Cíclico,Incorporações,Construção Civil,49.263.189/0001-02,private,20877,1977-01-01,True,False,False,Incorporação de Imoveis,Helbor Empreendimentos S.A.,Helbor,http://www.helbor.com.br
"A MRV Engenharia é uma construtora brasileira sediada em Belo Horizonte, fundada em 1979 com o objetivo de construir empreendimentos residenciais com foco na classe média. Atualmente, é considerada a maior construtora do Brasil em termos de faturamento, com presença em mais de 160 cidades brasileiras. A empresa é reconhecida por suas certificações de qualidade, como o PBQP-H e a ISO 9001, e por suas ações de responsabilidade social, como o Instituto MRV, que promove ações sociais voltadas para a educação. A MRV Engenharia é uma empresa em constante crescimento e inovação, com o objetivo de oferecer qualidade e satisfação aos seus clientes.",MRVE,NM,Consumo Cíclico,Incorporações,Construção Civil,08.343.492/0001-20,private,20915,2006-05-31,True,False,False,Atividades de Incorporação E Construção,MRV Engenharia e Participações S.A.,MRV,https://ri.mrv.com.br
"A Minerva Foods é uma empresa brasileira de alimentos com mais de 90 anos de história, fundada em Barretos (SP) em 1924. Atualmente, é a segunda maior empresa de carne bovina do Brasil e do Uruguai, além de ser a maior exportadora de carne bovina do Paraguai, Colômbia e Argentina, comercializando seus produtos para mais de 100 países. A empresa opera 26 plantas de abate e desossa em cinco países, com capacidade diária de abate e desossa de cerca de 54 mil cabeças de gado. No entanto, a empresa enfrentou recentemente críticas por manter um esquema de compra de gado de fazendas bloqueadas por crimes ambientais, o que gerou preocupações sobre a sustentabilidade de suas operações.",BEEF,NM,Consumo não Cíclico,Carnes e Derivados,Alimentos Processados,67.620.377/0001-14,private,20931,1992-01-01,True,False,False,Líder Na América Do Sul Na Exportação de Carne Bovina In Natura E Seus Derivados. E Que Atua Também No Segmento de Processados.,Minerva S.A.,Minerva,https://ri.minervafoods.com
