Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações
BRAD FIM HY,BRHY,BRADESCO FDO INV MULTIMERCADO CRÉD PRIV HY,BOLSA,Homologado,100,30/06/2022,0,1.000.000,1.000.000
BRADESCO LSG,BDLS,BRADESCO LEASING S.A. ARREND MERCANTIL,BOLSA,Homologado,"2.312.267.291,29",07/10/2016,23.585,0,23.585
BRADESPAR,BRAP,BRADESPAR S.A.,BOVESPA NIVEL 1,Homologado,"4.600.124.804,30",27/04/2023,137.989.898,255.106.712,393.096.610
BRASILAGRO,AGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,NOVO MERCADO,Homologado,"1.587.987.665,07",19/09/2023,102.683.444,0,102.683.444
BRASKEM,BRKM,BRASKEM S.A.,BOVESPA NIVEL 1,Homologado,"8.043.222.080,50",18/02/2022,451.668.652,345.539.182,797.207.834
BRAZILIAN FR,BFRE,BRAZILIAN FINANCE E REAL ESTATE S.A.,BOLSA,Homologado,"107.661.784,69",30/12/2014,239,478,717
BRAZILIAN SC,BSCS,BRAZILIAN SECURITIES CIA DE SECURITIZACAO,BOLSA,Homologado,"174.201.387,67",02/10/2015,77.864.966,0,77.864.966
BRB BANCO,BSLI,BRB BCO DE BRASILIA S.A.,BOLSA,Homologado,"1.300.000.000,00",03/08/2020,280.146.500,82.900.000,363.046.500
BRF SA,BRFS,BRF S.A.,NOVO MERCADO,Homologado,"13.653.417.953,36",13/07/2023,1.682.473.246,0,1.682.473.246
BRISANET,BRIT,BRISANET PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"1.321.859.218,92",26/07/2021,449.094.916,0,449.094.916
BRQ,BRQB,BRQ SOLUCOES EM INFORMATICA S.A.,MAIS,Homologado,"56.276.516,12",27/12/2019,133.186.083,0,133.186.083
FIP BRZ IE,BRZP,"BRZ INFRA PORTOS FDO, INV. EM PART. INFRAESTRUTURA",FIP IE,Homologado,100,07/07/2020,0,5.040.000,5.040.000
FIAGRO BTAG,BTAG,BTG PACTUAL CRÉDITO AGRÍCOLA - FIAGRO DIR CRED,BOLSA,Homologado,100,04/03/2022,0,3.004.438,3.004.438
FIC INFR BTG,BDIF,BTG PACTUAL DÍVIDA INFRA FIC. FDO. INC. IE. RF. CP,BOLSA,Homologado,100,28/09/2023,0,8.202.966,8.202.966
FIC INFR BTG,BDIF,BTG PACTUAL DÍVIDA INFRA FIC. FDO. INC. IE. RF. CP,BOLSA,Subscrito,100,27/09/2023,0,6.574.077,6.574.077
FIP BTGDV IE,BDIV,BTG PACTUAL IE DIV. FDO INV. PART. IE,FIP IE,Homologado,200,27/01/2022,0,10.693.825,10.693.825
BTG DEB DI,DEBB,BTG PACTUAL TEVA DEBÊNTURES DI FUNDO DE ÍNDICE,BOLSA,Homologado,100,27/06/2022,0,2.000.000,2.000.000
CABINDA PART,CABI,CABINDA PARTICIPACOES S.A.,BOLSA,Homologado,"939.809,85",10/02/2023,2.548.000,0,2.548.000
CAIXA SEGURI,CXSE,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"2.756.687.167,02",15/09/2020,3.000.000.000,0,3.000.000.000
CAMBUCI,CAMB,CAMBUCI S.A.,BOLSA,Homologado,"45.937.335,19",15/09/2021,42.275.080,0,42.275.080
CAMIL,CAML,CAMIL ALIMENTOS S.A.,NOVO MERCADO,Homologado,"950.373.789,63",01/02/2023,350.000.000,0,350.000.000
FIAGRO CPTR,CPTR,CAPITANIA AGRO STRATEGIES FIAGRO IMOBILIÁRIO,BOLSA,Homologado,200,04/09/2023,0,41.380.060,41.380.060
FIC IE CAP,CPTI,CAPITÂNIA INFRA FDO. INV. FDO. IE. RF. CRED. PRIV.,BOLSA,Homologado,200,08/09/2023,0,7.422.138,7.422.138
CCR SA,CCRO,CCR S.A.,NOVO MERCADO,Homologado,"6.126.100.230,54",09/02/2017,2.020.000.000,0,2.020.000.000
CEA MODAS,CEAB,CEA MODAS S.A.,NOVO MERCADO,Homologado,"1.849.418.624,00",24/10/2019,308.245.068,0,308.245.068
CEMEPE,MAPT,CEMEPE INVESTIMENTOS S.A.,BOLSA,Homologado,"23.550.366,68",16/11/2015,454.455,464.440,918.895
CEMIG DIST,CMGD,CEMIG DISTRIBUICAO S.A.,BOLSA,Homologado,"6.284.312.379,25",14/07/2023,2.359.113.452,0,2.359.113.452
CEMIG GT,CMGT,CEMIG GERACAO E TRANSMISSAO S.A.,BOLSA,Homologado,"5.490.129.699,43",31/10/2022,2.896.785.358,0,2.896.785.358
ELETROBRAS,ELET,CENTRAIS ELET BRAS S.A. - ELETROBRAS,BOVESPA NIVEL 1,Homologado,"70.099.825.620,79",05/01/2023,2.027.011.498,280.088.314,2.307.099.812
CELESC,CLSC,CENTRAIS ELET DE SANTA CATARINA S.A.,BOVESPA NIVEL 2,Homologado,"2.480.000.000,00",29/04/2021,15.527.137,23.044.454,38.571.591
P.ACUCAR-CBD,PCAR,CIA BRASILEIRA DE DISTRIBUICAO,NOVO MERCADO,Homologado,"1.333.064.889,72",14/02/2023,270.139.069,0,270.139.069
CASAN,CASN,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,BOLSA,Homologado,"1.118.641.022,64",29/06/2022,473.629.304,476.110.281,949.739.585
CASAN,CASN,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,BOLSA,Subscrito,"108.510.631,80",10/07/2023,45.943.081,46.183.741,92.126.822
CELGPAR,GPAR,CIA CELG DE PARTICIPACOES - CELGPAR,BOLSA,Homologado,"602.350.701,85",17/04/2023,79.676.502,0,79.676.502
CEG,CEGR,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,BOLSA,Homologado,"644.459.816,32",27/04/2018,259.637.732,0,259.637.732
CODESA,CDES,CIA DOCAS DO ESPRITO SANTO - CODESA,OUTROS,Homologado,"542.031.088,00",13/01/2022,6.535.189.321,0,6.535.189.321
COELBA,CEEB,CIA ELETRICIDADE EST. DA BAHIA - COELBA,BOLSA,Homologado,"2.988.161.799,23",27/07/2018,151.997.609,110.098.478,262.096.087
CEB,CEBR,CIA ENERGETICA DE BRASILIA,BOLSA,Homologado,"566.025.355,62",14/10/2021,35.920.890,36.161.025,72.081.915
CEMIG,CMIG,CIA ENERGETICA DE MINAS GERAIS - CEMIG,BOVESPA NIVEL 1,Homologado,"11.006.853.442,00",29/04/2022,735.847.624,1.465.523.064,2.201.370.688
CELPE,CEPE,CIA ENERGETICA DE PERNAMBUCO - CELPE,BOLSA,Homologado,"663.177.693,34",22/02/2017,66.302.693,8.309.695,74.612.388
COELCE,COCE,CIA ENERGETICA DO CEARA - COELCE,BOLSA,Homologado,"1.282.346.885,77",25/04/2023,48.067.937,29.787.362,77.855.299
COSERN,CSRN,CIA ENERGETICA DO RIO GDE NORTE - COSERN,BOLSA,Homologado,"542.339.236,13",14/03/2017,129.746.219,38.327.809,168.074.028
CEEE-D,CEED,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,BOLSA,Homologado,"3.385.861.097,24",05/07/2021,68.090.916,164.014,68.254.930
CEEE-G,CGEE,CIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA-CEEE-G,BOLSA,Homologado,"755.961.646,95",22/09/2022,9.491.023,145.543,9.636.566
CEEE-T,EEEL,CIA ESTADUAL DE TRANSMISSÃO DE ENER. ELET-CEEE-T,BOLSA,Homologado,"981.342.763,72",16/12/2022,9.480.088,112.356,9.592.444
FERBASA,FESA,CIA FERRO LIGAS DA BAHIA - FERBASA,BOVESPA NIVEL 1,Homologado,"1.470.395.617,65",28/08/2023,29.440.000,58.880.000,88.320.000
CEDRO,CEDO,CIA FIACAO TECIDOS CEDRO CACHOEIRA,BOVESPA NIVEL 1,Homologado,"150.000.000,00",29/04/2011,5.707.104,4.292.896,10.000.000
COMGAS,CGAS,CIA GAS DE SAO PAULO - COMGAS,BOLSA,Homologado,"536.315.493,02",01/07/2019,103.862.768,28.657.819,132.520.587
HABITASUL,HBTS,CIA HABITASUL DE PARTICIPACOES,BOLSA,Homologado,"177.181.809,47",29/04/2022,3.152.764,5.980.923,9.133.687
IND CATAGUAS,CATA,CIA INDUSTRIAL CATAGUASES,BOLSA,Homologado,"73.288.033,75",30/04/2009,144.198,1.109,145.307
MELHOR SP,MSPA,CIA MELHORAMENTOS DE SAO PAULO,BOLSA,Homologado,"153.718.776,00",20/04/2017,5.631.445,773.504,6.404.949
COPEL,CPLE,CIA PARANAENSE DE ENERGIA - COPEL,BOVESPA NIVEL 2,Homologado,"12.831.618.938,25",06/09/2023,1.300.347.300,1.682.463.291,2.982.810.591
PAR AL BAHIA,PEAB,CIA PARTICIPACOES ALIANCA DA BAHIA,BOLSA,Homologado,"410.358.800,00",29/04/2016,6.425.139,6.425.139,12.850.278
PAUL F LUZ,PALF,CIA PAULISTA DE FORCA E LUZ,BOLSA,Homologado,"1.343.322.533,71",29/04/2021,880.653.031,0,880.653.031
CPFL PIRATIN,CPFP,CIA PIRATININGA DE FORCA E LUZ,BOLSA,Homologado,"263.085.254,03",28/04/2022,53.096.770.180,0,53.096.770.180
SABESP,SBSP,CIA SANEAMENTO BASICO EST SAO PAULO,NOVO MERCADO,Homologado,"15.000.000.000,00",13/12/2018,683.509.869,0,683.509.869
COPASA,CSMG,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,NOVO MERCADO,Homologado,"3.402.385.609,47",19/11/2020,380.253.069,0,380.253.069
SANEPAR,SAPR,CIA SANEAMENTO DO PARANA - SANEPAR,BOVESPA NIVEL 2,Homologado,"6.000.000.000,00",28/04/2023,503.735.259,1.007.470.260,1.511.205.519
SEG AL BAHIA,CSAB,CIA SEGUROS ALIANCA DA BAHIA,BOLSA,Homologado,"100.000.000,00",30/03/2009,3.840.000,3.840.000,7.680.000
SID NACIONAL,CSNA,CIA SIDERURGICA NACIONAL,BOLSA,Homologado,"10.240.000.000,00",18/05/2022,1.326.093.947,0,1.326.093.947
COTEMINAS,CTNM,CIA TECIDOS NORTE DE MINAS COTEMINAS,BOLSA,Homologado,"882.235.698,00",04/09/2015,13.912.800,16.723.657,30.636.457
SANTANENSE,CTSA,CIA TECIDOS SANTANENSE,BOLSA,Homologado,"180.000.000,00",17/10/2022,9.510.277,18.314.504,27.824.781
CIELO,CIEL,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,NOVO MERCADO,Homologado,"5.700.000.000,00",20/04/2018,2.716.815.061,0,2.716.815.061
CIMS,CMSA,CIMS S.A.,BOLSA,Homologado,"2.543.855,70",26/05/2023,22.976.853,45.953.546,68.930.399
CLEARSALE,CLSA,CLEAR SALE S.A.,NOVO MERCADO,Homologado,"819.218.753,89",02/09/2021,187.926.060,0,187.926.060
VIVEO,VVEO,CM HOSPITALAR S.A.,NOVO MERCADO,Homologado,"2.549.392.366,31",02/08/2023,322.820.608,0,322.820.608
COGNA ON,COGN,COGNA EDUCAÇÃO S.A.,NOVO MERCADO,Homologado,"7.667.615.402,90",11/02/2020,1.876.606.210,0,1.876.606.210
COMERC PAR,COMR,COMERC PARTICIPACOES S.A.,BOLSA,Homologado,"3.657.793.097,58",18/03/2022,363.029.262,0,363.029.262
CBA,CBAV,COMPANHIA BRASILEIRA DE ALUMÍNIO,NOVO MERCADO,Homologado,"4.749.459.728,46",13/07/2021,595.833.333,0,595.833.333
COMPASS,PASS,COMPASS GAS E ENERGIA S.A.,BOLSA,Homologado,"2.272.499.508,53",05/10/2021,628.487.690,85.702.405,714.190.095
CONC RAPOSO,RPTA,CONC AUTO RAPOSO TAVARES S.A.,BOLSA,Homologado,"2.451.400.000,00",13/07/2022,6.301.299.488,6.301.299.487,12.602.598.975
GRUAIRPORT,AGRU,CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,SOMA,Homologado,"2.624.558.093,54",07/12/2017,3.033.541.675,0,3.033.541.675
ECOVIAS,ECOV,CONC ECOVIAS IMIGRANTES S.A.,BOLSA,Homologado,"302.547.000,00",28/11/2006,262.452.000,0,262.452.000
CONC RIO TER,CRTE,CONC RIO-TERESOPOLIS S.A.,BOLSA,Homologado,"57.899.999,89",15/05/2023,48.786,37.680,86.466
ECOPISTAS,ASCP,CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,BOLSA,Homologado,"287.664.883,37",14/04/2023,287.664.883,0,287.664.883
VIAOESTE,VOES,CONC ROD.OESTE SP VIAOESTE S.A,BOLSA,Homologado,"139.762.922,42",31/05/2007,6.988.146.121,6.988.146.121,13.976.292.242
ROD TIETE,RDVT,CONC RODOVIAS DO TIETÊ S.A.,BOLSA,Homologado,"303.578.475,96",30/06/2015,30.357.847.596,0,30.357.847.596
RT BANDEIRAS,CRBD,CONC ROTA DAS BANDEIRAS S.A.,BOLSA,Homologado,"556.799.050,00",27/10/2010,278.399.525,278.399.525,556.799.050
AUTOBAN,ANHB,CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,BOLSA,Homologado,"246.750.000,00",30/08/2012,175.000.000,0,175.000.000
CONFIANZA SA,NOOS,CONFIANZA SECURITIZADORA SA,OUTROS,Homologado,"2.354.547,00",25/04/2023,2.354.547,0,2.354.547
ODERICH,ODER,CONSERVAS ODERICH S.A.,BOLSA,Homologado,"210.000.000,00",26/04/2023,9.858.589,1.428.517,11.287.106
ALFA CONSORC,BRGE,CONSORCIO ALFA DE ADMINISTRACAO S.A.,BOLSA,Homologado,"501.901.000,00",30/03/2023,40.394.932,33.251.456,73.646.388
CONST A LIND,CALI,CONSTRUTORA ADOLPHO LINDENBERG S.A.,BOLSA,Homologado,"13.153.049,92",28/04/2022,3.720.971,0,3.720.971
TENDA,TEND,CONSTRUTORA TENDA S.A.,NOVO MERCADO,Homologado,"1.330.204.378,49",04/09/2023,123.094.246,0,123.094.246
COR RIBEIRO,CORR,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,BOLSA,Homologado,"1.423.541,58",27/04/2011,7.815,15.338,23.153
COSAN,CSAN,COSAN S.A.,NOVO MERCADO,Homologado,"8.402.543.550,97",29/04/2022,1.874.070.932,0,1.874.070.932
CPFL ENERGIA,CPFE,CPFL ENERGIA S.A.,NOVO MERCADO,Homologado,"9.435.625.759,75",27/06/2019,1.152.254.440,0,1.152.254.440
CPFL RENOVAV,CPRE,CPFL ENERGIAS RENOVÁVEIS S.A.,BOLSA,Homologado,"4.032.291.914,16",30/09/2020,593.782.504,0,593.782.504
CPFL GERACAO,CPFG,CPFL GERACAO DE ENERGIA S.A.,BOLSA,Homologado,"2.022.782.718,80",26/04/2021,225.137.769.366,0,225.137.769.366
MERC FINANC,MERC,"CREDITAQUI FINANCEIRA S.A. CRÉDITO, FINANCIAMENT",BOLSA,Homologado,"135.075.000,00",20/04/2023,10.179.565,7.830.435,18.010.000
CRUZEIRO EDU,CSED,CRUZEIRO DO SUL EDUCACIONAL S.A.,NOVO MERCADO,Homologado,"1.264.189.728,70",28/03/2023,367.048.752,0,367.048.752
CSNMINERACAO,CMIN,CSN MINERAÇÃO S.A.,BOVESPA NIVEL 2,Homologado,"7.473.979.884,36",18/05/2022,5.485.338.838,0,5.485.338.838
CSU DIGITAL,CSUD,CSU DIGITAL S.A.,NOVO MERCADO,Homologado,"229.231.849,61",04/05/2023,41.800.000,0,41.800.000
CTC S.A.,CTCA,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,MAIS,Homologado,"562.203.309,12",04/01/2021,320.748.000,0,320.748.000
TRAN PAULIST,TRPL,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,BOVESPA NIVEL 1,Homologado,"3.590.020.426,94",04/04/2019,257.937.732,400.945.572,658.883.304
CURY S/A,CURY,CURY CONSTRUTORA E INCORPORADORA S.A.,NOVO MERCADO,Homologado,"306.846.633,00",17/09/2020,291.875.088,0,291.875.088
CVC BRASIL,CVCB,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,NOVO MERCADO,Homologado,"1.529.018.074,04",22/06/2023,443.913.975,0,443.913.975
LE BISCUIT,LLBI,CVLB BRASIL S.A.,BOLSA,Homologado,"669.222.294,54",28/04/2023,124.984.764,0,124.984.764
CYRELA REALT,CYRE,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,NOVO MERCADO,Homologado,"3.395.744.524,60",28/04/2016,399.742.799,0,399.742.799
D1000VFARMA,DMVF,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"1.035.325.236,61",06/08/2020,50.602.842,0,50.602.842
DESKTOP,DESK,DESKTOP S.A.,NOVO MERCADO,Homologado,"992.835.694,80",25/05/2023,115.243.173,0,115.243.173
FIAGRO DEVAN,DCRA,DEVANT FDO INV NAS CAD PROD AGROIND FIAGRO IMOB,BOLSA,Homologado,100,16/09/2022,0,6.738.905,6.738.905
DEXCO,DXCO,DEXCO S.A.,NOVO MERCADO,Homologado,"3.370.188.626,80",03/05/2023,820.566.246,0,820.566.246
DEXXOS PAR,DEXP,DEXXOS PARTICIPACOES S.A.,BOVESPA NIVEL 1,Homologado,"178.000.000,00",11/01/2022,88.241.730,5.771.805,94.013.535
DASA,DASA,DIAGNOSTICOS DA AMERICA S.A.,NOVO MERCADO,Homologado,"18.032.489.013,94",18/04/2023,752.799.844,0,752.799.844
DIBENS LSG,DBEN,DIBENS LEASING S.A. - ARREND.MERCANTIL,BOLSA,Homologado,"357.187.453,39",07/03/2022,1.504.996.693,0,1.504.996.693
DIMED,PNVL,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,NOVO MERCADO,Homologado,"970.115.772,37",15/05/2023,150.377.481,0,150.377.481
DIRECIONAL,DIRR,DIRECIONAL ENGENHARIA S.A.,NOVO MERCADO,Homologado,"1.181.857.399,80",29/06/2023,173.500.000,0,173.500.000
DMFINANCEIRA,DMFN,"DM FINANCEIRA S.A. - CRÉDITO, FINANC E INVEST",BOLSA,Homologado,"12.351.465,87",28/04/2005,913.778,0,913.778
DOHLER,DOHL,DOHLER S.A.,BOLSA,Homologado,"320.000.000,00",28/04/2023,54.467.820,21.177.465,75.645.285
DOLUNAY,D4LU,DOLUNAY EMPREENDIMENTOS E PARTICIPAÇÕES S/A,OUTROS,Homologado,100,06/01/2023,0,2,2
DOTZ SA,DOTZ,DOTZ S.A.,NOVO MERCADO,Homologado,"203.113.717,67",30/06/2021,132.068.352,0,132.068.352
DTCOM-DIRECT,DTCY,DTCOM - DIRECT TO COMPANY S.A.,BOLSA,Homologado,"68.223.102,16",28/01/2021,10.680.476,450.655,11.131.131
FIAGRO ECO,EGAF,ECOAGRO I FDO INV CADEIAS PROD AGROIND FIAGRO IMOB,BOLSA,Homologado,100,09/10/2023,0,1.888.921,1.888.921
FIAGRO ECO,EGAF,ECOAGRO I FDO INV CADEIAS PROD AGROIND FIAGRO IMOB,BOLSA,Subscrito,100,10/10/2023,0,2.043.319,2.043.319
ECON,ERDV,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,BOLSA,Homologado,"2.107.439.658,24",12/06/2023,2.107.439.658,0,2.107.439.658
ECORODOVIAS,ECOR,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,NOVO MERCADO,Homologado,"2.101.489.404,07",23/06/2021,696.334.224,0,696.334.224
ENERGIAS BR,ENBR,EDP - ENERGIAS DO BRASIL S.A.,BOLSA,Homologado,"6.002.715.947,12",11/04/2023,581.165.268,0,581.165.268
ESCELSA,ESCE,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,BOLSA,Homologado,"650.572.403,40",04/01/2016,5.876.012,0,5.876.012
EBE,EBEN,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,BOLSA,Homologado,"596.669.107,23",04/01/2016,39.091.735.037,0,39.091.735.037
ACO ALTONA,EALT,ELECTRO ACO ALTONA S.A.,BOLSA,Homologado,"57.184.079,84",29/04/2021,9.750.000,12.750.000,22.500.000
ELEKTRO,EKTR,ELEKTRO REDES S.A.,BOLSA,Homologado,"952.491.950,14",31/03/2008,91.880.972,101.878.293,193.759.265
ELETROPAR,LIPR,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,BOLSA,Homologado,"118.054.887,48",25/08/2010,11.764.889,0,11.764.889
ELETROMIDIA,ELMD,ELETROMIDIA S.A.,NOVO MERCADO,Homologado,"218.062.196,00",17/02/2022,139.983.753,0,139.983.753
ELETROPAULO,ELPL,ELETROPAULO METROP. ELET. SAO PAULO S.A.,BOLSA,Homologado,"3.079.524.934,33",30/12/2019,197.466.862,0,197.466.862
EMAE,EMAE,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,BOLSA,Homologado,"285.411.308,35",26/07/2007,14.705.370,22.241.714,36.947.084
EMBPAR S/A,EPAR,EMBPAR PARTICIPACOES S.A.,BOLSA,Homologado,"45.000.000,00",23/10/2019,14.860.568,0,14.860.568
EMBRAER,EMBR,EMBRAER S.A.,NOVO MERCADO,Homologado,"5.159.617.052,42",05/03/2018,740.465.044,0,740.465.044
PAGUE MENOS,PGMN,EMPREENDIMENTOS PAGUE MENOS S.A.,NOVO MERCADO,Homologado,"1.647.538.679,14",03/10/2023,541.780.460,0,541.780.460
ENAUTA PART,ENAT,ENAUTA PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"2.135.496.103,82",02/03/2011,265.806.905,0,265.806.905
FIP END DEBT,ENDD,ENDURANCE DEBT FDO. INVEST. PART. INFRA.,FIP IE,Homologado,100,26/01/2021,0,4.100.000,4.100.000
ENERSUL,ENER,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,BOLSA,Homologado,"616.732.727,62",27/04/2016,647.015,0,647.015
ENERGISA MT,ENMT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,BOLSA,Homologado,"1.677.112.703,58",24/04/2020,75.529.774,143.412.165,218.941.939
ENERGISA,ENGI,ENERGISA S.A.,BOVESPA NIVEL 2,Homologado,"5.047.374.702,32",26/04/2023,800.898.864,1.238.187.676,2.039.086.540
ENEVA,ENEV,ENEVA S.A,NOVO MERCADO,Homologado,"13.262.193.182,08",02/03/2023,1.584.572.378,0,1.584.572.378
ENGIE BRASIL,EGIE,ENGIE BRASIL ENERGIA S.A.,NOVO MERCADO,Homologado,"4.902.647.710,37",07/12/2018,815.927.740,0,815.927.740
ENJOEI,ENJU,ENJOEI S.A.,NOVO MERCADO,Homologado,"634.395.991,18",21/06/2023,202.630.588,0,202.630.588
EQUATORIAL,EQTL,EQUATORIAL ENERGIA S.A.,NOVO MERCADO,Homologado,"9.310.527.507,67",25/04/2023,1.145.347.190,0,1.145.347.190
EQTLMARANHAO,EQMA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,SOMA,Homologado,"1.651.592.395,05",28/04/2021,161.318.939,2.864.960,164.183.899
EQTL PARA,EQPA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,BOLSA,Homologado,"1.624.458.979,18",29/04/2019,2.204.620.569,4.453.438,2.209.074.007
ETERNIT,ETER,ETERNIT S.A.,NOVO MERCADO,Homologado,"438.081.465,61",29/09/2021,61.776.575,0,61.776.575
BRAD IMA-B,IMBB,ETF BRADESCO IMA-B FUNDO DE ÍNDICE,BOLSA,Homologado,100,27/11/2019,0,8.400.000,8.400.000
BRAD IMA-B5M,B5MB,ETF BRADESCO IMA-B5+ FUNDO DE ÍNDICE,BOLSA,Homologado,100,28/11/2019,0,1.500.000,1.500.000
EUCATEX,EUCA,EUCATEX S.A. INDUSTRIA E COMERCIO,BOVESPA NIVEL 1,Homologado,"851.940.928,08",31/07/2020,31.257.700,61.361.556,92.619.256
EUROFARMA SA,EUFA,EUROFARMA LABORATORIOS S.A,MAIS NIVEL 2,Homologado,"1.203.877.781,57",20/12/2022,987.568.073,0,987.568.073
EVEN,EVEN,EVEN CONSTRUTORA E INCORPORADORA S.A.,NOVO MERCADO,Homologado,"1.657.409.998,31",24/08/2023,200.000.000,0,200.000.000
EXCELSIOR,BAUH,EXCELSIOR ALIMENTOS S.A.,BOLSA,Homologado,"44.470.412,86",27/08/2021,2.846.929,2.375.293,5.222.222
EZTEC,EZTC,EZ TEC EMPREEND. E PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"2.888.996.908,17",12/05/2022,220.989.103,0,220.989.103
FIM F3 FUNDS,FSPM,F3 FUNDSHARES PORTFÓLIO FDO INV MULT,BOLSA,Homologado,100,02/08/2023,0,107.028,107.028
FIAGRO AGRX,AGRX,FDO INV CAD PRO AGRO EXES ARAGUAIA FIAGRO IMOB,BOLSA,Homologado,200,20/04/2023,0,9.561.172,9.561.172
FIAGRO RIZA,RZAG,FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,BOLSA,Homologado,200,19/09/2022,0,68.040.425,68.040.425
FIAGRO JGP,JGPX,FDO INV CADEIAS PROD AGROIND JGP CRED FIAGRO IMOB,BOLSA,Homologado,200,02/08/2023,0,2.141.248,2.141.248
FIP IE I,ESUU,FDO INV PART IE BB VOTORANTIM ENERG SUSTENT I,FIP IE,Homologado,100,18/08/2011,0,22.292,22.292
FIP IE II,ESUD,FDO INV PART IE BB VOTORANTIM ENERG SUSTENT II,FIP IE,Homologado,100,18/08/2011,0,113.136,113.136
FIP IE III,ESUT,FDO INV PARTE IE BB VOTORANTIM ENERG SUSTENT III,FIP IE,Homologado,100,18/08/2011,0,108.085,108.085
FIP NVRAPOSO,NVRP,FDO INV PART NOVA RAPOSO - MULTIESTRATÉGIA,FIP MT,Homologado,100,13/11/2014,0,300.000,300.000
FGENERGIA,FGEN,FERREIRA GOMES ENERGIA S.A.,BOLSA,Homologado,"807.080.529,00",16/01/2018,807.080.529,0,807.080.529
FER C ATLANT,VSPT,FERROVIA CENTRO-ATLÂNTICA S.A.,BOLSA,Homologado,"4.663.323.193,63",09/08/2021,142.807.784,19,142.807.803
FIAGRO FGA,FGAA,FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,BOLSA,Homologado,200,28/07/2023,0,45.081.449,45.081.449
FICA,FIEI,FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A,BOLSA,Homologado,"122.649.267,88",29/04/2022,2.422.153,0,2.422.153
ALFA FINANC,CRIV,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,BOLSA,Homologado,"529.540.000,00",30/03/2023,58.736.269,44.206.287,102.942.556
FT CAPSTRENG,BFTS,PRIMEIRO ETF DE FORÇA DE CAPITAL FIDUCIÁRIO,BOLSA,Homologado,000,10/06/2021,0,861.200.000,861.200.000
CPT FT NUVEM,BKYY,PRIMEIRO ETF DE COMPUTAÇÃO EM NUVEM TRUST,BOLSA,Homologado,000,10/06/2021,0,599.000.000,599.000.000
ESTAGIÁRIO FT DJ,BFDN,PRIMEIRO FUNDO FIDUCIÁRIO DOW JONES INTERNET INDEX,BOLSA,Homologado,000,10/06/2021,0,1.314.000.000,1.314.000.000
FT HCAREALPH,BFXH,FUNDO ALPHADEX DE CUIDADOS DE SAÚDE FIRST TRUST,BOLSA,Homologado,000,10/06/2021,0,194.250.000,194.250.000
FT INTL EQOP,PBF,FIRST TRUST INTERNATIONAL EQUITY OPPORTUNITIES ETF,BOLSA,Homologado,000,10/06/2021,0,145.200.000,145.200.000
FT LCAPGROW,BFTC,PRIMEIRO FUNDO TRUST LARGE CAP GROWTH ALPHADEX,BOLSA,Homologado,100,10/06/2021,0,107.500.000,107.500.000
